iteration,operator,accepted,feasible_fast,weighted_tardiness,makespan_s,energy_kwh,sortie_count,best_weighted_tardiness
0,seed,False,False,212353.1036475913,10167.371393140611,59.13042326715418,18,
1,seed,True,True,854727.1620318877,18271.05037644577,97.17059575538451,31,854727.1620318877
2,seed,False,True,1116527.7105339295,19154.315582327814,99.24562781630279,31,854727.1620318877
3,seed,False,True,1153328.6222364,20002.276639355136,99.77051686191551,31,854727.1620318877
4,seed,False,True,1091318.1556734596,19411.034110250628,98.84197983555089,31,854727.1620318877
5,seed,False,True,1527602.524986007,21590.740085124336,116.14731990284125,52,854727.1620318877
6,seed,True,True,734228.2428825389,18230.452941146512,99.83619915000361,32,734228.2428825389
7,seed,False,True,882610.8078582198,19545.062897207205,100.22829650870659,31,734228.2428825389
8,seed,False,True,980022.5606191217,17599.663978567623,94.56846247236827,28,734228.2428825389
9,insert_service,False,True,826178.1865050684,18888.71232474616,98.83586975760639,31,734228.2428825389
10,priority_order,False,True,918163.9141467952,18983.420587019595,97.17059575538451,31,734228.2428825389
11,remove_reinsert,False,True,798358.2198563117,18802.117606522515,99.69677924003385,32,734228.2428825389
12,relocate_box,False,True,1092576.4115677872,18138.278160620877,94.56846247236827,28,734228.2428825389
13,relocate_box,False,True,842642.1225572692,18378.674850834635,98.86807502484768,31,734228.2428825389
14,move_partial,False,True,822746.706733653,18164.461840632892,99.84463495365507,32,734228.2428825389
15,split,False,True,811411.6497299667,19205.23648077163,99.83619915000361,32,734228.2428825389
16,merge,False,True,774075.6180954297,18739.38736276111,99.83619915000361,32,734228.2428825389
17,move_partial,False,True,941536.4363595229,19214.921407998336,101.96988218916356,32,734228.2428825389
18,split,False,True,876314.8879524559,18646.12393369358,100.48000735427051,32,734228.2428825389
19,swap_boxes,False,True,915369.46731861,18351.764682582143,99.69677924003385,32,734228.2428825389
20,two_opt,False,True,992723.1462465813,17945.35373084246,94.50165918162594,28,734228.2428825389
21,two_opt,True,True,728794.3912523234,18418.39498255816,99.84472171350873,32,728794.3912523234
22,insert_service,False,True,758805.984825022,17957.02138363943,99.84472171350873,32,728794.3912523234
23,priority_order,False,True,890705.961148484,18642.86485453365,99.84472171350873,32,728794.3912523234
24,priority_order,False,True,812676.7108735095,17606.955765942505,98.83586975760639,31,728794.3912523234
25,change_model,False,True,818414.6923783966,17832.964911928844,98.39596866058268,32,728794.3912523234
26,change_model,True,True,717294.5409856201,16624.069346615066,97.01991043834605,32,717294.5409856201
27,swap_boxes,False,True,863149.866911085,18010.770061149356,98.83586975760639,31,717294.5409856201
28,change_model,False,True,923277.4977251686,18022.049779208508,94.56846247236827,28,717294.5409856201
29,split,True,True,654142.7890137411,18061.802510577698,99.29806110129405,33,654142.7890137411
30,two_opt,True,True,625110.938960436,15872.217024565738,99.28953853778893,33,625110.938960436
31,merge,False,True,785551.4052551802,16647.945807497545,98.55407895250778,32,625110.938960436
32,relocate_box,False,False,1488571.9068462402,18884.418191188262,97.21562760512788,28,625110.938960436
33,merge,False,True,1074758.7339518506,18047.364755667382,94.50165918162594,28,625110.938960436
34,priority_order,False,True,966384.5649492828,17912.3273997454,94.50165918162594,28,625110.938960436
35,priority_order,False,True,698806.6198354168,16438.112970342565,99.28953853778893,33,625110.938960436
