iteration,restart,operator,score,j1,j2_s,estimated_blackout_s,routes
1,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
10,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
20,0,q2_alns_mutation,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
30,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
40,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
50,0,q2_alns_mutation,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
60,0,relay_conflict_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
70,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
80,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
90,0,relay_conflict_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
100,0,low_link_margin_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
110,0,q2_alns_mutation,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
120,0,low_link_margin_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
130,0,q2_alns_mutation,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
140,0,worst_communication_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
150,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
160,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
170,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
180,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
190,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
200,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
210,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
220,0,relay_conflict_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
230,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
240,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
250,0,worst_communication_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
260,0,q2_alns_mutation,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
270,0,worst_communication_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
280,0,communication_hard_route_reorder,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
290,0,worst_communication_removal,1.9302729428818581,0.0,7483.751393770081,18437.956070096996,26
